,0,1,2,3,4,5,6
51,,"LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.6890069369469328,0.853125,0.728192007797271
52,,"LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 25}",0.6780566483005777,0.8484375,0.6984910192147034
53,,"LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",KNeighborsClassifier(),{'n_neighbors': 20},0.6443411506034809,0.8390625,0.7020937761069341
54,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.7357389858946501,0.7859375,0.6240253411306044
55,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.8940902594287332,0.83125,0.7014672096908938
56,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.9051836533837259,0.8421875,0.7380691311612365
57,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.8766670122115435,0.828125,0.6704695767195767
58,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.9038097170595372,0.8375,0.7227791701475912
59,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.9244673084701013,0.8453125,0.6848893065998329
60,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.7654211613859949,0.8265625,0.7127628098022835
61,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.8844446679171846,0.85,0.7290796435533275
62,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.8956629619240859,0.8484375,0.7415761626287942
63,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': DecisionTreeClassifier(random_state=42), 'n_estimators': 50}",0.8811206479540109,0.840625,0.71953320802005
64,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.8930991104415001,0.84375,0.7587371205792259
65,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.896830345574967,0.8390625,0.7441781537176275
66,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=5, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'gini', 'max_depth': 15}",0.7628852888861587,0.8125,0.6228853383458647
67,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=5, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.8741549046248437,0.8421875,0.7833733639654692
68,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=5, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.8748011684749855,0.8453125,0.7934767474241158
69,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=5, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': DecisionTreeClassifier(random_state=42), 'n_estimators': 50}",0.868600529939855,0.8296875,0.7906833054859371
70,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=5, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.8665931640483906,0.8375,0.7792397660818714
71,"SMOTE(random_state=42, sampling_strategy=0.5)","PCA(n_components=5, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.859893184494862,0.8203125,0.7796661793372319
